id,Question,Answer,Tarea,Category,Action,Área,Raimon,Oslo,Xavi,Álvaro,Alberto,Andrés,Joaquín,Oscar,Carlos
39,How to load a file from Google Drive?,ANS39,Cargar fichero de Google Drive,data_manager,load_file,Manejar datos,1,,,,8,1,,8,1
40,How to upload a file into Google Drive?,ANS40,Subir un fichero a Google Drive,,,Manejar datos,1,,,,8,1,,,
41,How to change the id of a given file?,ANS41,Validar/Cambiar el id de un fichero de Google Drive,,,Manejar datos,1,,,,5,,,,
42,,ANS42,Usar el resultado de un filter en un viz,operations,filter,Operaciones,4,,,,8,,,8,1
43,"How to manage ""set value""?",ANS43,Usar Set Value,,,Operaciones,,,,,5,,,6,
44,"How to manage ""transpose""?",ANS44,Usar Transpose,,,Operaciones,,,,,5,,,6,
45,"How to manage ""join""?",ANS45,Usar Join,,,Operaciones,,,,,5,,,6,
46,"How to manage ""get names""?",ANS46,Usar Get Names,,,Operaciones,,,,,5,,,6,
47,"How to manage ""sort""?",ANS47,Usar Sort,,,Operaciones,,,,,8,,,8,
48,"How to manage ""group""?",ANS48,Usar Group,,,Operaciones,,,,,6,,,6,
49,"How to manage ""summarize""?",ANS49,Usar Summarize,,,Operaciones,,,,,6,,,6,
50,"How to manage ""aggregate""?",ANS50,Usar Aggregate,,,Operaciones,,,,,8,,,8,
51,"How to manage ""go to page""?",ANS51,Usar Go to Page,,,Operaciones,,,,,8,,,7,
52,"How to manage ""go to viz""?",ANS52,Usar Go to viz,,,Operaciones,,,,,8,,,7,
53,How can I change the width & height of my project?,ANS53,Modificar dimensiones del proyecto,,,Configurar un proyecto,,,,,6,,,6,
54,How can I change the configuration of the layout of a given project?,ANS54,Modificar configuración del layout del proyecto,,,Configurar un proyecto,5,,,,7,,,6,0.5
55,How can I modify background and canvas colors?,ANS55,Modificar colores de fondo y de canvas del proyecto,,,Configurar un proyecto,,,,,6,,,5,
56,"How do I manage ""Pages""?",ANS56,Usar Páginas,,,Pages,,,,,8,,,9,1
57,How does the Page Navigator work?,ANS57,Utilizar el Page Navigator,,,Pages,,,,,7,,,8,
58,How can I insert components in the static header?,ANS58,Meter visualizaciones en el header,,,Pages,,,,,7,,,7,
59,How can I manage general settings in tooltips?,ANS59,Modificar los settings generales de los tooltip,,,Configurar un proyecto,,,,,6,,,,
60,How can I create a network?,ANS60,Crear una red,,,Redes,,,,,7,,,8,
61,How can I insert data into a network chart,ANS61,Asignar datos a una red,,,Redes,,,,,7,,,9,
62,How can I download a SVG file of a given chart?,ANS62,Descargar un svg del visualizador,,,Visualizador,,,,,,,,,
