lemma,frequency,derivatives
decir,6580,decir dijo dije dice digo dijiste dices dicen dime digas diga diciendo diré dile decirte dijeron decirle decirme decía diría dígame decirlo digamos decirles diles dígale dilo dirá digan dímelo decírselo dijera dirás decírtelo decirnos dijimos dimos decimos díselo decías dinos decían dirías dirán decírmelo diremos dire dijeras dígales díganme decia dígaselo diciéndome díganle dígamelo decirse
para,6455,para
saber,6022,sé sabes sabe saber sabía saben sabemos saberlo sabías sepa supe sepas sabido sabrá supiera sabían supo sepan sabría sabrás sabíamos sabremos supiste supieras sabéis sabiendo sabrán sabré sabrías sepamos sabés supieran
querer,5981,quiero quieres quiere quería quieren queremos quisiera quieras quiera quise querías quiso querer querían querría quieran queria queríamos querrás querrá quisieras queréis quisiste querrías querrán queriendo queramos querias querés quisiéramos quisieron quisieran
su,5933,su sus
si,5880,si
todo,5634,todo todos todas toda
bien,5316,bien bienes bién
eso,5214,eso esos
pero,5012,pero
tu,4864,tu tus
yo,4800,yo
sí,4704,sí
ver,4583,ver visto veo ves vi verte vemos viste verlo vio veré veamos verás viendo veremos vea verla verme verá vieron vimos veía vean verlos veas verán vernos verle ví viera vería verlas vé vió verse vera vieras veis vieran
aquí,4288,aquí aqui
del,3911,del
al,3887,al
como comer,3760,como
le,3470,le
más,3395,más
ese,3382,ese esa esas ése ésa
este,3363,este estas estos éste
creer,3186,creo crees cree creer creí creía creerlo créeme creemos creas creyó creó creerme creías créame creerá creíste creería crei creed creerás creerán creeme creían creerte creyendo creíamos creerías creyeron creímos
esto,3185,esto ésto
bueno,3044,bueno buen buenas buenos buenísimo
deber,2963,debe debo debes debería debemos deberías deben deberíamos debía debí deberían debió deber debiste deba deberia deberias debamos deberá debimos debieron deberes debías debas deberiamos deberás debíamos deberán debiera debían debéis
ya,2944,ya
esta,2927,esta
dar,2724,da dame dar dio di dale darle das dan doy daré dieron darme darte dando dé diste dará date des den daría deme darles daba damos darnos daremos dámelo déme darán dió diera darse denme danos dí denle darás demos dámela dales dándole daban dense darías dieran dare démosle dele dáselo dese
muy,2618,muy
ahora,2523,ahora
algo,2469,algo
señor,2388,señor sr señores
dejar,2256,deja déjame dejar dejó deje dejes dejé dejaré dejo déjalo déjeme dejaste dejas dejen déjenme dejarlo dejaron dejame dejamos dejan dejarme déjala dejarte dejará dejemos dejando dejaremos dejaría dejarla dejara dejarás dejarán déjenlo déjate déjanos dejarlos dejarle dejare dejaba dejarnos dejaras déjelo dejarías dejeme dejalo dejaran déjenos déjalos dejenme déjale dejadme dejad déjela
nos,2247,nos
tú,2232,tú
así,2225,así asi
nada,2122,nada
pasar,2121,pasa pasó pasar pasando pase pasará pasé pasan pasamos pasaba pasaría pasen pasara pasaron pasaste pases pasaré pasaremos pásame pasarme pasemos pasarán pasarla pasarás pasarte
vez,2112,vez veces
cuando,2098,cuando
usted,2095,usted ustedes ud vd
otro,1980,otra otro otros otras
cómo,1969,cómo
sólo,1933,sólo
mucho,1930,mucho muchas muchos mucha
ser ir,1915,fue fueras fuese fueran
gracias,1886,gracias
o,1885,o u
tanto,1870,tan tanto tanta tantos tantas
él,1836,él
hablar,1797,hablar hablando hablo hablamos hablado hable hablé habló hables hablemos hablan hablaré hablaremos hablaba hablarle hablarte hablaste háblame hablarme hablará hablen hablábamos hablaron hablabas hablaban hablarles hablara hablarlo
venir,1747,viene venir venga venido vine vienen vengan vienes vendrá vengo viniste vinieron vengas venía vinimos vendría vendrán viniendo viniera venimos vendrás vinieras venid vendrías vendré venían vendrían
pensar,1730,pensé pensar pensando pienso piensas piensa pensaba pensado piensan pensamos pienses pensó piense pensaste pense pensarlo piénsalo pensabas piensen pensaría pensaron pensaré pensará pensábamos pensaban pensemos pensarás
hombre,1696,hombre hombres
necesitar,1654,necesito necesitamos necesita necesitas necesitan necesitaba necesitar necesite necesitaré necesitaremos necesitará necesites necesitarás necesitabas necesitábamos necesitaría necesitaban necesitemos necesitara
cosa coser,1610,cosas cosa
día,1590,día días dia dias
mirar,1585,mira miren mire mirando mirar mírame mires miras mírate míralo miro mirad miraba miré miran miró mírala mirarme mirarte míreme miramos mirame mirarlo mírenlo
ella,1570,ella
sentir sentar,1500,siento sientes siente sientas sienten
nuestro,1463,nuestro nuestra nuestros nuestras
dios,1426,dios dioses
quién,1411,quién quiénes
hola,1393,hola
casa casar,1376,casa casas
porque,1362,porque
tiempo,1348,tiempo tiempos
mejor,1346,mejor mejores
nunca,1342,nunca
dónde,1335,dónde
favor,1320,favor favores
año,1308,años año
dos,1301,dos
solo,1292,solo sola solos solas
llevar,1272,lleva llevar llevo llevó llevas llevaré lleve llevan llevará llevamos llevaron llevaba llevado llevarte llevarlo llevarme llevando llévame llevaremos lleven llevarla llevé llévate llevara llevarse llevaría lleves llevarán llevarnos llévenselo llevarás llevaste llévalo llevarle llévala llévenlo llevarlos llévatelo llevare llevaban llevemos lléveme
verdad,1269,verdad
quedar,1228,queda quédate quedan quedar quedarme quedarse quedarte quedó quede quedo quedas quedado quedamos quedará quedaré quédese quédense quedarnos quedé quedes quedate quedarás quedaron quedaba quedara quedaremos queden quedaría quedarán quedaste quedando quedaras
ahí,1222,ahí ahi
esperar,1219,espero esperando esperar espere esperen esperaba esperamos esperan esperemos esperaré espérame esperabas esperaremos esperé esperes esperábamos esperad esperándote esperaban espérenme esperaría esperará esperó
parecer,1218,parece parecía pareces parecen parecer pareció parezca parezco parecerá pareciera parecían parecería
salir,1200,salir sale salió salga salido salgan saliendo saldrá salgamos salimos salgo salen salí sales salieron saldremos salgas saliste saldré salía saliera saldrás saldrán salio saldría
tomar,1199,toma tomar tome tomó tomando tomado tomé tomo tomaré tomen tomamos tomará tómalo tomes tomaste toman tomaron tomaremos tomemos tomaría tomarlo tómala tomaba tomarme tomara tomarte tomarse tomarás tomarle
encontrar,1196,encontrar encontré encuentra encontramos encontrado encontró encontraron encontraste encuentras encontraremos encuentre encontrarlo encuentran encontraré encontrará encuentren encontrarás encontrarla encontremos encontrarme encontrarán encontrarte encuentres encontrarnos encontraba encontre encontraría encontrarlos encontrara encontrarse encontrarle
entonces,1194,entonces
vida,1192,vida vidas
volver,1189,volver vuelve volveré vuelva vuelvo volvió volverá vuelvas volviendo vuelvan volveremos vuelves volvamos volví volverás volvemos vuelven volvería volviste volverán volvieron volvía volviera volverse volverme volvimos volverías volved
ti,1186,ti tí
matar,1184,matar mató mata mataste matarme mataron maté mato matarlo matarte mataré matando matará maten matan matarán matas mátalo mataría matamos matarnos matarlos matarla matara mátame mataran mátala matarás matare mátalos matarían mataremos matarle mátenlos
gustar,1176,gusta gustaría gustan gustaba gustó guste gustas gustado gustar gustaria gustará gustaban gustara gusten gustes
noche,1148,noche noches
llegar,1105,llegar llegó llegado llega llegue llegamos llegué llego llegaron llegas llegará llegaste llegando llegan llegaremos lleguen lleguemos llegara llegues llegaré llegarán llegarás llegaría llegaba
mismo,1078,mismo misma mismos mismas
poner,1069,poner pone puso pon ponte ponga puse poniendo pongo pones pondré ponen pongas ponerme pusieron pondrá pongan ponerte ponerse pusiste ponerle ponlo ponemos ponerlo pondremos póngase pondrás pónganse pondría pusimos ponme ponle ponía pongamos ponla ponernos ponerla pusiera pondrán ponerlos
amigo,1064,amigo amigos
oír,1053,oye oí oír oiga oigan oyes oíste oigo oyó oyeron oírlo oir oírme oyen oyendo oímos oírte oigas oiste
llamar,1053,llamar llamo llamó llaman llamaré llame llámame llamaba llamé llamando llamamos llamaste llamarme llamen llames llamaron llamarlo llamarte llamaremos llamaban llamarla llámeme llamaría llamará llamara llamarle llamare llámalo llámala
alguien,1051,alguien alguién
hasta,1032,hasta
grande,1031,gran grande grandes
también,1029,también tambien
sin,1029,sin
mí,1022,mí
padre,1019,padre padres
conocer,1017,conozco conoces conoce conocer conocí conocía conocen conocemos conocerte conocerlo conocimos conociste conoció conozca conocerla conocías conozcas conozcan conocieron conociera conocerlos conocernos conocerle conocerme conocían
seguir,1006,sigue seguir sigues sigo siguen sigan siga seguimos siguiendo sigamos seguirá seguiré sígueme seguiremos síganme seguí sigas siguió seguía sígame seguirás seguirán siguieron seguirme seguiría seguiste
sobre,996,sobre
uno,993,uno
siempre,986,siempre
oh,985,oh
poco,970,poco pocos poquito pocas poca
antes,955,antes
ni,941,ni
hijo,933,hijo hijos
escuchar,924,escucha escúchame escuchar escuche escuchen escuché escucho escuchando escuchado escuchas escuchaste escuchan escucharme escuchó escúcheme escucharon escuchame escuches escuchamos escucharlo escúchenme escucharte escuchad
seguro,915,seguro segura seguros seguras
alguno,908,alguna algunos algunas alguno
entender,878,entiendo entiendes entendido entender entiende entienden entendí entendiste entenderlo entendemos entienda entendió entiendas entenderá entenderás entendía entendería entendieron entenderías
morir,874,morir murió muere murieron muriendo muero morirá muera mueren mueres morirás moriremos mueras morirán moriré muriera murio moriría mueran morimos moría muérete morirse morí
nadie,865,nadie
ayudar,865,ayudar ayudarte ayúdame ayudarme ayude ayudarlo ayudarle ayúdenme ayudará ayudarnos ayudaré ayudó ayudo ayudarla ayudando ayúdeme ayudarlos ayudado ayudaría ayudes ayudarles ayudara ayudaste ayuden ayudame ayudarás ayudé ayudan ayudaremos ayúdanos ayudarán ayúdenos
nosotros,847,nosotros
trabajo trabajar,828,trabajo
gente,827,gente
les,806,les
donde,806,donde
perder,802,perder perdido perdí perdió perdiendo perdimos perdiste pierde pierdes pierdo perdemos pierdas perdieron pierda pierden perderé perderte perderá perderemos perdería perderás perderlo perdamos piérdete pierdan perderme perdi
hacer hecho,795,hecho
ellos,792,ellos
hora,784,hora horas
mío,776,mío mía míos mías
problema,770,problema problemas
tipo,756,tipo tipos
acabar,746,acaba acabó acabo acabar acabado acabas acabamos acaban acabe acabará acabaron acabé acabando acabemos acabaste acaben acabaré acababa acabarás acabaría acabaremos
dinero,740,dinero
lugar,737,lugar lugares
tal,733,tal tales
después,713,después despues
claro,711,claro claras claros
mujer,707,mujer mujeres
momento,703,momento momentos
mundo,696,mundo mundos
buscar,688,buscando buscar busco buscas buscamos buscan buscado buscarlo buscarte buscaré buscaba busque busquen buscarla busqué buscarme busquemos buscaremos busques buscarlos buscabas buscó buscaste
mierda,684,mierda mierdas
nuevo,681,nuevo nuevos nuevas
suponer,676,supongo supuesto supone suponía supuse suponer supongamos
esperar espera,674,espera
ir ser,663,fui fueron fuiste fuimos fué fuéramos fuí
vivir,656,vivir vive viva vives viviendo viven vivía vivimos vivido vivas vivió vivirá viví viviré viviremos vivirás vivirán
mañana,656,mañana mañanas
desde,653,desde
fuera ir ser,650,fuera
chico,642,chico chicos
entrar,636,entrar entra entró entren entrando entramos entrado entré entro entras entraron entran entraste entremos entres entrará entraré entraremos
tratar,622,trata tratando tratar trató traté trataba tratas trate tratan tratamos trataré trates trataron traten trataste tratara
nombre,619,nombre nombres
quien,607,quien quienes
mano,603,manos mano
papá,598,papá papás
niño,598,niños niño
estar estado,597,estado
acordar acuerdo,591,acuerdo
trabajar,590,trabajar trabajando trabaja trabajas trabajaba trabajado trabajamos trabajan trabajé trabajó trabaje trabajaban
primero,589,primero primer primeros primeras
traer,580,trae traer trajo traído traigo traeré trajiste traes traigan traiga tráeme trajeron traen traerlo traerme traerá traía trajimos tráelo traerte traerla traigas trayendo traido tráela traerle tráiganlo
ninguno,578,ningún ninguna ninguno
bueno buena,578,buena
importar,574,importa importaría importan importar importaba importará importas importó
doctor,570,dr doctor doc doctores
ver venir,564,ven
madre,564,madre madres
tres,562,tres
menos,560,menos
minuto,555,minutos minuto
mal,553,mal
conmigo,551,conmigo
hoy,548,hoy
persona,542,personas persona
allí,540,allí alli
mamá,530,mamá
último,524,última último últimos ultima últimas ultimo úitima
muerto morir,524,muerto muerta muertas
tarde tardar,521,tarde tardes
maldito,520,maldito maldita malditos malditas
luego,519,luego
policía,510,policía policías policia policias
único,505,único única unico únicos unica únicas
empezar,505,empezar empieza empezó empezamos empezando empecé empiece empieces empecemos empiezo empezado empezaron empiezan empiezas empiecen empezaste empezaremos empezaba empezaré empezará
señora,502,señora sra señoras
pedir,497,pido pedir pidió pedí pide pidiendo pedirle pedirte pediste pediré pedimos pides pida piden pidieron pedirme pidas pediría pidan pedirles pedía pídele
razón,494,razón razones razon
terminar,490,terminar terminado terminó termine termina terminé termino terminamos terminará terminaste termines terminemos terminaron terminen terminan terminaré terminarlo terminaría terminas terminando
cierto,487,cierto cierta ciertas ciertos
contigo,486,contigo
usar,484,usar usa usando usan usó usas usarlo usamos use usarla usaba uses usé usaste usen usaré usaremos usaron usará usaría
ver ir,481,ve
partir parte,479,parte
loco,476,loco loca locos locas
idea,474,idea ideas
viejo,469,viejo vieja viejos viejas
mas,469,mas
aún,461,aún
preguntar,457,pregunto preguntar preguntaba preguntarte pregunté preguntarle preguntó preguntado pregúntale preguntando pregunte preguntes preguntaste preguntan preguntarme preguntaré preguntaron preguntamos pregunten pregúntele
semana,456,semana semanas
demasiado,456,demasiado demasiada demasiados demasiadas
cada,449,cada
recordar,445,recuerdas recuerda recordar recuerde recuerden recuerdan recuerdes recordaré recordarlo recordaba recordando recordará recordarte
sacar,444,sacar saca sacaste sacó saque sacarte saquen sacarlo saqué sacaré sacaron sacas sácame sacamos sacarme sácalo sacarle sacando sacaremos sacarla sáquenlo sacan saques sacarlos sácala sacará sáquenme sacarnos
intentar,442,intentando intenta intentar intentarlo intenté intentado intentó intentas intentaré intente intentaba intentamos inténtalo intentes intentan intentaron intentaremos intenten intentaste intentándolo
regresar,433,regresar regresa regresen regrese regresó regresaré regresará regreses regresé regresemos regresamos regresaremos regresaste regresas regresan regresando regresaron
puerta,432,puerta puertas
lado,431,lado lados
familia,431,familia familias
quizá,429,quizá quiza
segundo,428,segundo segundos segunda
preocupar,428,preocupes preocupa preocupe preocuparse preocuparte preocupen preocupas preocupo preocuparme preocupan preocupaba preocuparía preocuparnos
mover,425,muévanse muévete muevas mueve mueva mover muevan moverse moviendo muevanse mueven muévase moverte moverme moviéndose movernos mueves muevete movió movemos movía
hablar habla,424,habla hablas
cabeza,423,cabeza cabezas
rápido,420,rápido rápida rapido rápidos
listo,412,listo listos
olvidar,411,olvídalo olvidar olvidé olvides olvida olvide olvidó olvídate olvidaste olvidaré olvidas olviden olvidarlo olvidemos olvidalo olvídelo olvidamos olvidaba olvídenlo olvidarte
hermano,411,hermano hermanos
comer,410,comer come comiendo comen comió comes comí comemos comeré coman comiste comeremos comamos comieron cómete
algún,407,algún algun
allá,404,allá alla
realmente,402,realmente
arma armar,397,arma armas
serio,391,serio serios serias
quizás,385,quizás quizas
dormir,383,dormir dormido duerme durmiendo durmió duermo duermes duermas dormí duerma duermen dormiste dormía dormiré duérmete
chico chica,383,chica
cariño,382,cariño
entre,379,entre
jugar,376,jugar jugando juega jugamos juegas juegues jugado juegan juguemos jugaba jugó jugué
llamar llama,372,llama llamas
cuidar cuidado,372,cuidado
conseguir,372,conseguir consigue conseguí conseguiste consigo consiguió conseguimos conseguiré consigues consiga conseguirlo conseguiremos conseguirás consiguen conseguirte consiguieron conseguirá
amor,369,amor
todavía,368,todavía todavia
auto,367,auto autos
ah,363,ah
suceder,360,sucede sucedió suceder sucediendo suceda sucederá sucedería sucediera suceden
suerte,358,suerte
historia,358,historia historias
eh,357,eh
adiós,356,adiós adios
contar cuenta,354,cuenta
diablo,351,diablos diablo
leer,349,leer lee leo leí leído leyendo lees lea leíste leerlo leyó leia
pues,348,pues
abrir,346,abre abrir abran abrió abro abras ábrelo abren abrí abriendo abrirla abrirá abriré ábrela abres abrimos abrieron abrirlo
cambiar,345,cambiar cambia cambió cambiando cambian cambié cambie cambiará cambiaron cambiaste cambias cambies cambiarlo cambiarme cambiamos cambiaría
ayuda ayudar,345,ayuda ayudas
pasar pasado,344,pasado
casi,338,casi
ojo,337,ojos ojo
forma,337,forma
sentir,335,sentir sentí sentía sentimos sentirse sentirme sintió sintiendo sentirás sentiría sentirte sentirlo sentiste sentirá
ocurrir,335,ocurre ocurrió ocurrido ocurra ocurrir ocurriendo ocurrirá ocurren
ok,334,ok
decir dicho,333,dicho
nuevo nueva,332,nueva
ciudad,332,ciudad ciudades
dentro,331,dentro
miedo,330,miedo miedos
contra,329,contra
primero primera,325,primera
camino caminar,325,camino
muerte,324,muerte muertes
mantener,324,mantener mantén mantiene mantente mantengan mantenga mantenerlo mantienen mantenerte manténganse mantenlo mantendré mantuvo mantenerse mantenerme mantengo mátenlo mantenemos mantendrá mantienes mantendremos mantenernos manteniendo
hacia,324,hacia
feliz,321,feliz felices
haber haya,320,haya hayas
cuál,320,cuál cuáles
pequeño,316,pequeño pequeños pequeñas
pagar,316,pagar pagan pagaré pagó pague pagará pagué pagando pagarle pagamos pagarás pagarán pagaría pagaron pagarme pagarte paguen pagaremos pagaste pagarlo
hey,315,hey
ganar,315,ganar ganó gané ganamos gano ganando gane ganaste ganan ganaron ganará ganaremos ganarle ganarme ganarse ganaba
señorita,314,srta señorita señoritas
mientras,314,mientras
guerra,313,guerra guerras
muchacho,309,muchachos muchacho
esposa esposar,309,esposa
cuánto,309,cuánto
pronto,308,pronto
mes,308,meses mes
cualquier,307,cualquier
significar,304,significa significan significaba signifique significar significaría
disculpar,304,disculpe disculpen discúlpeme discúlpame disculparme discúlpenme disculpo disculpan
agua,302,agua aguas
detener,301,detente detener detenerlo detenga detengan deténgase detenerme deténganse detuvo detén detenerlos detiene detendrá detengas deténganlo detenernos detenerla detenerte detuvieron
contar,301,contar contó cuéntame conté contando contaré cuente contaste contarle contarte cuentan contarme cuentes contaba cuénteme cuéntale contamos cuéntanos contarles
valer vale,300,vale vales
palabra,300,palabra palabras
importante,300,importante importantes
capitán,300,capitán capitan
manera,299,manera maneras
correr,295,corre correr corriendo corran corren corra corría corres corrió corrí corras
corazón,288,corazón corazones corazon
caso casar,288,caso
jefe,286,jefe jefes
adelante,283,adelante
fin,281,fin fines
disparar,281,disparar dispara disparen disparó dispararon disparando dispare dispararle dispares disparan disparé disparaste dispararé dispárale disparas dispararme
número,280,número números numero
junto,279,juntos
clase,278,clase clases
tierra,277,tierra tierras
propio,276,propia propio propios propias
luz,276,luz luces
cerca cercar,276,cerca
atrás,276,atrás atras
suficiente,275,suficiente suficientes
arriba,274,arriba
tocar,272,toca tocar tocado tocando tocó tocas toco toquen tocaba tocan tocarme toqué tocarte tocarlo
hija,272,hija hijas
cara,272,cara caras
punto,271,punto puntos
cuerpo,271,cuerpo cuerpos
caer,271,cayó caer cae cayendo caes caen caiga caí cayeron caerá caigo cayo caíste caía
sangre,269,sangre
igual,268,igual iguales lgual
bajar bajo,268,bajo
cuanto,267,cuanto cuantos cuantas cuanta
fuerte,264,fuerte fuertes
meter,262,metido meter metió mete métete meterte metes metí metiste meterse meterme metieron meto meten metiendo metan meteré metemos
funcionar,261,funciona funcionar funcionó funcionando funcione funcionará funcionan funcionado funcionara
perro,259,perro perros
durante,258,durante
tuyo,257,tuyo tuya tuyos tuyas
orden,257,orden órdenes ordenes
escribir,257,escribir escrito escribió escribe escribí escribiendo escribo escribiste escriba escribes escribiré
difícil,257,difícil difíciles dificil
genial,256,genial geniales
callar,256,cállate calla callate cállense cállese callar callarte callas
abajo,256,abajo
vuelta volver,254,vuelta vueltas
humano,254,humano humanos humana humanas
comenzar,254,comenzar comienza comenzó comencé comenzamos comenzado comience comenzando comencemos comenzaron comiencen comenzará comienzan comenzaremos comienzas
justo,253,justo justa
malo,251,malo malos
sentar,248,siéntate siéntese sentarse sentarme siéntense sentarte sentar sientate sentarnos sentamos sentó
andar,248,anda andando andar andas andan andaba ando
siquiera,247,siquiera
demonio,246,demonios demonio
cielo,246,cielo cielos
comprar,245,comprar compré compró compre compraste compro compraré comprarme comprando compramos comprarle compraron compran comprarte
puta,243,puta putas
subir,242,sube subir suba súbete suban subiendo subió subo subimos subes subiré subí suben
juego jugar,242,juego
equipo equipar,242,equipo
quitar,241,quítate quita quitar quite quitarme quitó quitaron quítense quitarle quitarte quito quítame quitas quitaré quité quiten quítese quites quítale quitarse quitan
negro,241,negro negros negra negras
medio,241,medio medios medias
caballero,241,caballeros caballero
recibir,239,recibir recibido recibí recibió recibe recibimos recibiendo recibirá recibiste reciben reciba recibes recibirás recibirán recibieron
cinco,238,cinco
dólar,237,dólares dólar dolares
amo amar,237,amo
tío,236,tío tio tíos
lindo,236,lindo linda lindos lindas
cuándo,236,cuándo
mil,235,mil miles
joven,235,joven jóvenes
libro,234,libro libros
plan,233,plan planes
hermoso,233,hermosa hermoso hermosas hermosos
foto,231,foto fotos
fiesta,231,fiesta fiestas
alto,230,alto altos
negocio negociar,229,negocio negocios
comida comer,229,comida
aunque,229,aunque
oportunidad,228,oportunidad oportunidades
mayor,228,mayor mayores
ay,228,ay
cuarto,227,cuarto cuarta cuartos
teléfono,225,teléfono telefono teléfonos
realidad,224,realidad
enviar,224,envió enviar envía enviaron enviaré envié envíe envíen enviamos enviaste envían enviando enviará enviaremos enviarán
hermana,223,hermana hermanas
salvar,222,salvar salvó salve salvaste salvarte salvarlo salvé salvarme salvará salvarla salvando sálvame
prueba probar,222,prueba pruebas
encantar,222,encanta encantaría encantan encantó encantará encantar encantaba
secreto,221,secreto secretos secreta secretas
próximo,221,próxima próximo próximos próximas proxima proximo
fácil,220,fácil facil fáciles
pregunta preguntar,219,pregunta
cuatro,218,cuatro
tranquilo,215,tranquilo tranquila tranquilos
perfecto,215,perfecto perfecta perfectos perfectas
idiota,214,idiota idiotas
escuela,214,escuela escuelas
lista listo,213,lista listas
final,213,final finales
afuera,213,afuera
acá,213,acá aca
echar,211,echar echo echa eche echaré echó echarle echaron echando echas eché echen echarme eches echarte echamos échate echaste echan échale
posible,210,posible posibles
paso pasar,210,paso
extraño extrañar,209,extraño extraña
cual,209,cual cuales
carajo,208,carajo carajos
vivir vivo,207,vivo
correcto,207,correcto correcta correctas
estúpido,204,estúpido estúpida estúpidos estupido estúpidas
bastar,204,basta
levantar,203,levántate levanta levantar levante levanten levantarse levántese levantó levantarme levantarte levanto levántense levantate levanté
bonito,203,bonito bonita bonitas bonitos
venir vino,202,vino
tonto,202,tonto tonta tontos tontas
malo mala,202,mala malas
fuego,202,fuego fuegos
bastante,202,bastante bastantes
pie,201,pie pies
prometer,200,prometo prometí prometiste prometió prometes prométeme promete prometer
fuerza forzar,200,fuerza fuerzas
enseñar,200,enseñó enseñar enseñaré enseñarte enseña enseñarle enseño enseñarles enseñarme enseñé enseñaron enseñe enseñando enseñaste enseñan enséñame enseñas
calle callar,200,calle calles
millón,199,millones millón
país,197,país países pais
bebé,197,bebé bebés
robar,195,robar robó robaron robaste robando robé roba roban robe robamos robarme robarle
exactamente,194,exactamente
seguridad,193,seguridad
chica,193,chicas
avión,193,avión aviones avion
tampoco,191,tampoco
servir,191,sirve servir servirá sirven sirvo servirle sirvió sirva sirves serviría sirviendo
pueblo,190,pueblo pueblos
perdón,190,perdón perdon
nave,190,nave naves
largo largar,190,largo larga largas
agente,190,agente agentes
libre,189,libre libres
culpa culpar,189,culpa
veras,188,veras
rey,188,rey reyes
noticia,188,noticias noticia
niña,188,niña niñas
especial,188,especial especiales
adónde,188,adónde
increíble,186,increíble increible increíbles
raro,185,raro rara raras raros
permitir,185,permite permitir permítame permitiré permiten permíteme permita permites permitirá permitió permítanme permitiría
paz,185,paz
duro durar,185,duro dura duras
bajar,184,bajar baje bajen bajando bájate bajó bájame bajaré bájala bajamos bajan bajé bajes
asunto,184,asunto asuntos
sentido sentir,183,sentido sentidos
santo,183,santo santa santos
perdonar,183,perdona perdone perdóname perdóneme perdonar perdonen perdonarme perdono perdonará
película,183,película películas pelicula
sonar,182,suena sonar suenas sonaba sonó suene sonando
confiar,180,confiar confía confío confías confíe confíes confié confiamos confiaba
recuerdo recordar,179,recuerdo
coche,179,coche coches
par,178,par
cama,178,cama camas
blanco,178,blanco blancos blancas
temer,177,temo teme temer temía temes temen
beber,177,beber bebe bebiendo bebes bebo beba
lejos,175,lejos
jamás,175,jamás jamas
diferente,175,diferente diferentes
hospital,174,hospital hospitales
control,172,control
seis,171,seis
aprender,171,aprender aprendí aprendido aprende aprendiste aprendiendo aprendes aprendió aprenderás
ésta,170,ésta
real,169,real reales
oficial,169,oficial oficiales
desear,169,desea desearía deseas desean deseaba desee deseando deseamos desear desees
pequeña,168,pequeña
general,168,general generales
trato tratar,167,trato
parar,167,parar pare paren párate paró paramos pararlo
derecho,167,derecho derechos
llave,166,llave llaves
cuidar,166,cuidar cuida cuídate cuidando cuide cuidaré cuido cuidarte cuidarme cuidará cuiden
cerrar,166,cierra cerrar cierren cerró cerrando cerramos cerré cierran
acerca acercar,166,acerca
modo,165,modo modos
cambio cambiar,165,cambio
además,165,además ademas
preparar,164,prepárense preparar prepara prepárate preparen preparando prepare preparo prepararé preparé prepararme prepararte prepararse
molestar,164,molesta molestar molestes moleste molestando molestaría molestarte molestarme molestan molesten molestarla
falta faltar,164,falta
presidente,163,presidente
lograr,163,lograr logramos logró lograste lograrlo logré logra lograremos lograron logre logras logrará lograrás
dado dar,163,dado dada dados dadas
aceptar,163,aceptar acepto acepta aceptarlo aceptas acepte aceptó aceptan acepté aceptaré aceptamos aceptaría aceptará
gusto gustar,162,gusto
detrás,162,detrás detras
resto,161,resto restos
os,161,os
oficina,161,oficina oficinas
llamada llamar,161,llamada llamadas
error,161,error errores
despertar,161,despierta despertar despierte desperté despertó despierten despertarte
carta,161,carta cartas
casar,160,casarse casar casarme casarte casó case casé casaste casarnos casamos casaré
café,160,café cafe
peor bien,159,peor
habitación,159,habitación habitaciones habitacion
anoche,159,anoche
