rank,word,occurrences (ppm),lemma forms
293,todavía,340,todavía
294,hermano,340,hermano
295,debes,338,deber
296,casi,338,casi
297,forma,337,forma
298,aqui,336,aquí
299,chico,335,chico
300,ok,334,ok
301,dicho,333,decir dicho
302,nueva,332,nuevo nueva
303,sabía,332,saber
304,muchas,332,mucho
305,dentro,331,dentro
306,hice,330,hacer
307,contra,329,contra
308,auto,327,auto
309,camino,325,camino caminar
310,ayuda,325,ayuda ayudar
311,primera,325,primero primera
312,hacia,324,hacia
313,vi,324,ver
314,miedo,324,miedo
315,adiós,322,adiós
316,primero,322,primero
317,debería,321,deber
318,poder,318,poder
319,niños,316,niño
320,sería,316,ser
321,historia,316,historia
322,hey,315,hey
323,mientras,314,mientras
324,ciudad,313,ciudad
325,dijiste,313,decir
326,espero,310,esperar
327,cuánto,309,cuánto
328,esposa,309,esposa esposar
329,pronto,308,pronto
330,chicos,307,chico
331,cualquier,307,cualquier
332,viejo,307,viejo
333,debemos,307,deber
334,deja,306,dejar
335,año,305,año
336,muerte,304,muerte
337,hablando,304,hablar
338,manos,304,mano
339,da,304,dar
340,loco,303,loco
341,problemas,300,problema
342,mano,299,mano
343,guerra,298,guerra
344,semana,296,semana
345,pasar,295,pasar
346,vale,294,valer vale
347,cuál,292,cuál
348,viene,292,venir
349,volver,288,volver
350,toma,288,tomar
351,caso,288,caso casar
352,agua,287,agua
353,haré,287,hacer
354,vete,286,ir
355,entiendo,286,entender
356,horas,286,hora
357,personas,285,persona
358,capitán,284,capitán
359,adelante,283,adelante
360,niño,282,niño
361,listo,282,listo
362,noches,280,noche
363,buenos,279,bueno
364,iba,279,ir
365,juntos,279,junto
366,dame,276,dar
367,único,276,único
368,déjame,276,dejar
369,cerca,276,cerca cercar
370,otros,275,otro
371,sigue,275,seguir
372,grande,275,grande
373,arriba,274,arriba
374,jefe,274,jefe
375,habla,273,hablar habla
376,supongo,271,suponer
377,manera,271,manera
378,quieren,270,querer
379,feliz,270,feliz
380,significa,269,significar
381,sangre,269,sangre
382,fin,268,fin
383,bajo,268,bajar bajo
384,llama,267,llamar llama
385,venir,266,venir
386,morir,265,morir
387,importante,264,importante
388,hiciste,264,hacer
389,ojos,264,ojo
390,escucha,263,escuchar
391,entrar,261,entrar
392,ningún,260,ninguno
393,corazón,260,corazón
394,diablos,259,diablo
395,necesitamos,259,necesitar
396,atrás,259,atrás
397,durante,258,durante
398,dices,258,decir
399,nuestros,257,nuestro
400,persona,257,persona
401,abajo,256,abajo
402,dr,255,doctor
403,hija,255,hija
404,dejar,254,dejar
405,necesita,254,necesitar
406,llegar,254,llegar
407,hago,253,hacer
408,señora,252,señora
409,haya,250,haber haya
410,suficiente,249,suficiente
411,doctor,249,doctor
412,gustaría,248,gustar
413,tierra,247,tierra
414,cara,247,cara
415,siquiera,247,siquiera
416,genial,246,genial
417,cree,246,creer
418,supuesto,244,suponer
419,tomar,243,tomar
420,equipo,242,equipo equipar
421,justo,242,justo
422,juego,242,juego jugar
423,ninguna,240,ninguno
424,matar,240,matar
425,cinco,238,cinco
426,dicen,237,decir
427,amo,237,amo amar
428,cuándo,236,cuándo
429,pequeño,235,pequeño
430,algunos,234,alguno
431,conozco,233,conocer
432,clase,233,clase
433,maldito,231,maldito
434,unas,231,un
435,muchos,231,mucho
436,hubiera,230,haber
437,segundo,230,segundo
438,aunque,229,aunque
439,pueda,229,poder
440,dime,229,decir
441,igual,229,igual
442,comida,229,comida comer
443,ay,228,ay
444,cuerpo,228,cuerpo
445,encontrar,228,encontrar
446,fuerte,227,fuerte
447,vuelta,227,vuelta volver
448,venga,226,venir
449,creer,225,creer
450,realidad,224,realidad
451,saben,222,saber
452,puta,222,puta
453,deberías,219,deber
454,pregunta,219,pregunta preguntar
455,fui,219,ir ser
456,cuatro,218,cuatro
457,sra,218,señora
458,primer,217,primero
459,trabajar,217,trabajar
460,e,217,y
461,hagas,216,hacer
462,alto,216,alto
463,maldita,216,maldito
464,comer,215,comer
465,número,215,número
466,dar,215,dar
467,necesitas,215,necesitar
468,oportunidad,215,oportunidad
469,punto,213,punto
470,misma,213,mismo
471,última,213,último
472,afuera,213,afuera
473,mujeres,212,mujer
474,pensar,212,pensar
475,fueron,212,ir ser
476,difícil,211,difícil
477,vivir,210,vivir
478,paso,210,paso pasar
479,malo,209,malo
480,estabas,208,estar
481,vivo,207,vivir vivo
482,haga,206,hacer
483,queda,206,quedar
484,hijos,205,hijo
485,mayor,205,mayor
486,fiesta,205,fiesta
487,hacen,205,hacer
488,medio,205,medio
489,algunas,204,alguno
490,basta,204,bastar
491,arma,202,arma armar
492,vino,202,venir vino
493,meses,201,mes
494,cuarto,201,cuarto
495,éste,201,este
496,escuela,201,escuela
497,esté,200,estar
498,dólares,200,dólar
499,tío,198,tío
500,posible,198,posible
501,tuve,198,tener
502,fácil,198,fácil
503,preocupes,198,preocupar
504,luz,196,luz
505,eran,196,ser
506,carajo,196,carajo
507,final,196,final
508,lista,195,lista listo
509,trata,195,tratar
510,armas,195,arma armar
511,hermana,194,hermana
512,exactamente,194,exactamente
513,chicas,193,chica
514,podía,193,poder
515,bastante,193,bastante
516,seguridad,193,seguridad
517,pasando,193,pasar
518,esperando,193,esperar
519,acá,192,acá
520,teléfono,192,teléfono
521,perro,192,perro
522,fuego,192,fuego
523,murió,191,morir
524,tampoco,191,tampoco
525,sola,190,solo
526,estuvo,189,estar
527,verte,189,ver
528,iré,189,ir
529,tenido,189,tener
530,culpa,189,culpa culpar
531,veras,188,veras
532,adónde,188,adónde
533,buscando,188,buscar
534,cuanto,187,cuanto
535,padres,186,padre
536,paz,185,paz
537,demonios,184,demonio
538,estará,184,estar
539,cual,183,cual
540,perdón,181,perdón
541,asi,181,así
542,jugar,181,jugar
543,pensando,179,pensar
544,esperar,179,esperar
545,sabemos,179,saber
546,recuerdo,179,recuerdo recordar
547,par,178,par
548,joven,178,joven
549,seguir,178,seguir
550,pueblo,178,pueblo
551,tenga,177,tener
552,caballeros,177,caballero
553,idiota,176,idiota
554,dio,176,dar
555,minuto,176,minuto
556,bebé,176,bebé
557,única,176,único
558,lejos,175,lejos
559,nuestras,175,nuestro
560,plan,174,plan
561,pienso,174,pensar
562,sentido,173,sentido sentir
563,dormir,173,dormir
564,digas,173,decir
565,palabra,173,palabra
566,correcto,172,correcto
567,control,172,control
568,vemos,172,ver
569,entiendes,172,entender
570,país,171,país
571,seis,171,seis
572,último,171,último
573,ésta,170,ésta
574,diga,170,decir
575,podrías,169,poder
576,pequeña,168,pequeña
577,cállate,167,callar
578,trato,167,trato tratar
579,rey,167,rey
580,sucede,167,suceder
581,muchachos,167,muchacho
582,jamás,167,jamás
583,cama,167,cama
584,srta,167,señorita
585,ayudar,166,ayudar
586,acerca,166,acerca acercar
587,di,165,dar
588,cambio,165,cambio cambiar
589,falta,164,falta faltar
590,hospital,164,hospital
591,lleva,164,llevar
592,presidente,163,presidente
593,mil,163,mil
594,gusto,162,gusto gustar
595,conoces,161,conocer
596,diciendo,161,decir
597,os,161,os
598,ido,160,ir
599,general,160,general
600,extraño,160,extraño extrañar
601,semanas,160,semana
602,coche,160,coche
603,peor,159,peor bien
604,mucha,159,mucho
605,disculpe,159,disculpar
606,diré,159,decir
607,anoche,159,anoche
608,perder,158,perder
609,vámonos,158,ir
610,nave,157,nave
611,cielo,157,cielo
612,habrá,157,haber
613,orden,157,orden
614,segura,156,seguro
615,querida,156,querida querido querer
616,niña,156,niña
617,increíble,155,increíble
618,además,155,además
619,deben,154,deber
620,libro,154,libro
621,calle,154,calle callar
622,café,154,café
623,piensas,153,pensar
624,hacemos,153,hacer
625,especial,153,especial
626,queremos,153,querer
627,irme,152,ir
628,perfecto,152,perfecto
629,buscar,152,buscar
630,odio,151,odio odiar
631,piensa,151,pensar
632,oficina,151,oficina
633,hablas,151,hablar habla
634,libre,151,libre
635,agente,150,agente
636,york,150,Nueva York jamón york
637,llamar,150,llamar
638,mala,150,malo mala
639,detrás,150,detrás
640,viste,149,ver
641,dile,149,decir
642,grandes,148,grande
643,recuerdas,148,recordar
644,real,148,real
645,estaban,147,estar
646,mía,147,mío
647,frente,147,frente
648,perdido,147,perder
649,llamo,147,llamar
650,muertos,146,muerto
651,millones,146,millón
652,asesino,146,asesino asesinar
653,sueño,145,sueño soñar
654,quisiera,145,querer
655,habría,145,haber
656,hará,144,hacer
657,viaje,143,viaje viajar
658,probablemente,143,probablemente
659,resto,143,resto
660,estaré,143,estar
661,maldición,143,maldición
662,lamento,142,lamento lamentar
663,muchacho,142,muchacho
664,avión,142,avión
665,ropa,142,ropa
666,fuerza,142,fuerza forzar
667,llamado,141,llamado llamar
668,oído,141,oído oír
669,dado,141,dado dar
670,encima,141,encima
671,negro,141,negro
672,usar,140,usar
673,información,140,información
674,uds,140,ustedes
675,preguntas,139,preguntar pregunta
676,tuvo,139,tener
677,secreto,139,secreto
678,vuelve,139,volver
679,miren,139,mirar
680,quieras,139,querer
681,haría,139,hacer
682,acaba,139,acabar
683,otras,138,otro
684,incluso,138,incluso
685,sientes,138,sentir sentar
686,deberíamos,138,deber
687,haz,137,hacer haz
688,decirte,137,decir
689,boca,137,boca
690,dolor,136,dolor
691,baño,136,baño bañar
692,adentro,136,adentro
693,profesor,136,profesor
694,habitación,135,habitación
695,daño,135,daño dañar
696,tuyo,135,tuyo
697,seas,135,ser
698,noticias,135,noticia
699,demás,134,demás
700,querido,134,querido querer
701,duro,134,duro durar
702,poner,134,poner
703,prueba,134,prueba probar
704,mire,133,mirar
705,tonto,133,tonto
706,campo,133,campo campar
707,siendo,133,ser
708,diez,133,diez
709,ése,132,ese
710,tranquilo,131,tranquilo
711,asunto,131,asunto
712,acabó,131,acabar
713,quédate,131,quedar
714,derecho,131,derecho
715,placer,131,placer
716,recuerda,131,recordar
717,estuve,131,estar
718,tratando,131,tratar
719,ejército,131,ejército
720,futuro,131,futuro
721,llevar,130,llevar
722,compañía,130,compañía
723,venido,130,venir
724,listos,130,listo
725,haremos,129,hacer
726,sitio,129,sitio
727,verlo,129,ver
728,puesto,129,puesto poner
729,atención,129,atención
730,sino,128,sino
731,cambiar,128,cambiar
732,error,128,error
733,blanco,127,blanco
734,raro,127,raro
735,palabras,127,palabra
736,llegó,127,llegar
737,sal,127,sal salir
738,pase,127,pasar
739,mente,127,mente
740,sistema,126,sistema
741,película,126,película
742,anda,126,andar
743,ello,126,ello
744,negocio,126,negocio negociar
745,novia,126,novia
746,permiso,125,permiso
747,creí,125,creer
748,suena,125,sonar
749,ocurre,125,ocurrir
750,oficial,125,oficial
751,espere,125,esperar
752,aire,125,aire
753,mató,124,matar
754,regresar,124,regresar
755,vio,124,ver
756,hazlo,123,hacer
757,trasero,122,trasero
758,grupo,122,grupo
759,entendido,122,entender
760,señorita,122,señorita
761,música,122,música
762,perra,122,perra
763,conoce,121,conocer
764,empezar,121,empezar
765,siente,121,sentir sentar
766,acabo,120,acabar
767,estúpido,120,estúpido
768,diferente,120,diferente
769,traje,120,traer traje
770,modo,120,modo
771,encontré,119,encontrar
772,mensaje,119,mensaje
773,llamada,119,llamada llamar
774,navidad,118,navidad
775,eras,118,ser
776,pena,118,pena penar
777,largo,118,largo largar
778,entra,118,entrar
779,piso,118,piso pisar
780,foto,118,foto
781,dijeron,118,decir
782,médico,117,médico
783,accidente,117,accidente
784,fuiste,117,ir ser
785,imposible,117,imposible
786,podríamos,116,poder
787,línea,116,línea
788,propia,116,propio
789,barco,116,barco
790,ganar,116,ganar
791,normal,115,normal
792,segundos,115,segundo
793,vive,115,vivir
794,mitad,114,mitad
795,quiera,114,querer
796,tras,114,tras
797,decirle,114,decir
798,lindo,114,lindo
799,funciona,114,funcionar
800,programa,113,programa
801,vine,113,venir
802,abre,113,abrir
803,sean,113,ser
804,pagar,113,pagar
805,fotos,113,foto
806,centro,113,centro centrar
807,supone,113,suponer
808,basura,112,basura
809,situación,112,situación
810,mejores,112,mejor
811,vienen,112,venir
812,encanta,112,encantar
813,marido,112,marido
814,personal,111,personal
815,maestro,111,maestro
816,hambre,111,hambre
817,ataque,111,ataque atacar
818,culo,111,culo
819,dale,111,dar
820,pie,111,pie
821,conseguir,111,conseguir
822,trabajando,111,trabajar
823,gracioso,111,gracioso
824,dejó,111,dejar
825,pudo,110,poder
826,derecha,110,derecha
827,izquierda,110,izquierda
828,próxima,110,próximo
829,pobre,110,pobre
830,respuesta,109,respuesta
831,tipos,109,tipo
832,sentir,109,sentir
833,tenías,109,tener
834,pude,109,poder
835,darle,109,dar
836,voz,109,voz
837,amiga,109,amiga
838,gustan,109,gustar
839,vista,109,vista ver
840,salvo,109,salvo salvar
841,loca,108,loco
842,hotel,108,hotel
843,hicieron,108,hacer
844,ten,108,tener
845,temo,108,temer
846,señal,108,señal
847,pelo,108,pelo pelar
848,llevo,108,llevar
849,ayer,108,ayer
850,das,108,dar
851,nena,108,nena
852,servicio,108,servicio
853,tren,107,tren
854,bonito,107,bonito
855,mes,107,mes
856,tendrá,107,tener
857,tendrás,107,tener
858,edad,107,edad
859,ellas,107,ellas
860,hermosa,107,hermoso
861,honor,106,honor
862,simplemente,106,simplemente
863,llamas,105,llamar llama
864,tengas,105,tener
865,corre,105,correr
866,baja,105,bajo baja
867,sol,105,sol
868,siéntate,105,sentar
869,dan,105,dar
870,humano,105,humano
871,divertido,105,divertido divertir
872,sexo,104,sexo
873,vuelto,104,vuelto volver
874,peligro,104,peligro peligrar
875,mesa,104,mesa
876,siguiente,104,siguiente
877,hablo,104,hablar
878,disculpa,104,disculpa disculpar
879,decirme,104,decir
880,caja,103,caja
881,negocios,103,negocio negociar
882,misión,103,misión
883,silencio,103,silencio
884,sale,103,salir
885,llegado,103,llegar
886,estaría,102,estar
887,regreso,102,regreso regresar
888,media,102,media medio
889,estan,101,estar
890,propio,101,propio
891,oro,101,oro orar
892,enseguida,101,enseguida
893,linda,100,lindo
894,prometo,100,prometer
895,esposo,100,esposo esposar
896,norte,99,norte
897,hubo,99,haber
898,juro,99,jurar
899,muerta,99,muerto morir
900,interesante,99,interesante
901,pensaba,99,pensar
902,busca,99,buscar busca
903,terminar,99,terminar
904,tendré,98,tener
905,completamente,98,completamente
906,cita,98,cita citar
907,siete,98,siete
908,cumpleaños,98,cumpleaños
909,abogado,98,abogado
910,alrededor,98,alrededor
911,cerebro,98,cerebro
912,porqué,97,porqué
913,llave,97,llave
914,santo,97,santo
915,hermoso,97,hermoso
916,necesario,97,necesario
917,edificio,97,edificio
918,irnos,97,ir
919,aun,97,aun
920,tendremos,97,tener
921,vayas,97,ir
922,doy,96,dar
923,trae,96,traer
924,salió,96,salir
925,ley,96,ley
926,ahi,96,ahí
927,verdadero,96,verdadero
928,pelea,96,pelea pelear
929,banco,96,banco
930,terrible,95,terrible
931,calma,95,calma calmar
932,cena,95,cena cenar
933,daré,95,dar
934,gobierno,95,gobierno
935,comprar,95,comprar
936,creen,94,creer crear
937,sargento,94,sargento
938,destino,94,destino
939,existe,94,existir
940,hacía,94,hacer
941,novio,93,novio
942,sala,93,sala
943,través,93,través
944,regalo,93,regalo regalar
945,iglesia,92,iglesia
946,decía,92,decir
947,cualquiera,92,cualquiera
948,excelente,92,excelente
949,esperen,92,esperar
950,deseo,92,deseo desear
951,alma,92,alma
952,diablo,92,diablo
953,deje,92,dejar
954,cuántos,92,cuántos
955,espada,92,espada
956,estábamos,92,estar
957,carne,92,carne
958,maravilloso,92,maravilloso
959,vidas,91,vida
960,sucedió,91,suceder
961,oí,91,oír
962,peligroso,91,peligroso
963,dirección,91,dirección
964,libertad,91,libertad
965,jesús,91,Jesús
966,ocurrió,91,ocurrir
967,veré,91,ver
968,sueños,91,sueño
969,pudiera,91,poder
970,detective,90,detective
971,sorpresa,90,sorpresa
972,tuya,90,tuyo
973,pies,90,pie
974,club,90,club
975,terminado,90,terminar
976,infierno,90,infierno
977,creía,90,creer
978,luna,90,luna
979,salvar,90,salvar
980,carta,90,carta
981,estés,90,estar
982,cielos,89,cielo
983,teniente,89,teniente
984,encuentra,89,encontrar
985,veamos,89,ver
986,quise,89,querer
987,escúchame,89,escuchar
988,necesitan,89,necesitar
989,ambos,89,ambos ambo
990,decisión,89,decisión
991,enemigo,89,enemigo
992,hicimos,89,hacer
993,dulce,88,dulce
994,pruebas,88,prueba probar
995,querías,88,querer
996,abuelo,88,abuelo
997,totalmente,88,totalmente
998,mirando,88,mirar
999,vayan,88,ir
1000,carrera,88,carrera
1001,vuelo,88,vuelo volar
1002,ante,87,ante
1003,bienvenido,87,bienvenido
1004,harás,87,hacer
1005,encontramos,87,encontrar
1006,encontrado,87,encontrar
1007,contacto,87,contacto contactar
1008,posición,87,posición
1009,saberlo,87,saber
1010,planeta,87,planeta
1011,humanos,87,humano
1012,coronel,87,coronel
1013,junto,87,junto juntar
1014,diría,87,decir
1015,ésa,87,ese
1016,base,87,base basar
1017,oír,86,oír
1018,suelo,86,suelo soler
1019,pelear,86,pelear
1020,ayudarte,86,ayudar
1021,pistola,86,pistola
1022,frío,86,frío freír
1023,comandante,85,comandante
1024,partes,85,parte partir
1025,llega,85,llegar
1026,verás,85,ver
1027,sur,85,sur
1028,iremos,85,ir
1029,rato,85,rato
1030,mar,84,mar
1031,espacio,84,espacio
1032,asesinato,84,asesinato
1033,ventana,84,ventana
1034,prisa,84,prisa
1035,tienda,84,tienda tender
1036,cámara,84,cámara
1037,puedas,84,poder
1038,según,84,según
1039,broma,84,broma
1040,reunión,83,reunión
1041,despierta,83,despertar
1042,sacar,83,sacar
1043,tí,83,ti
1044,segunda,83,segundo
1045,papel,83,papel
1046,locura,83,locura
1047,departamento,82,departamento
1048,horrible,82,horrible
1049,enfermo,82,enfermo
1050,pregunto,82,preguntar
1051,cárcel,82,cárcel
1052,órdenes,82,orden
1053,intento,82,intento intentar
1054,isla,82,isla
1055,salida,82,salida salir
1056,llamó,82,llamar
1057,volveré,82,volver
1058,usa,82,usar
1059,gato,82,gato
1060,hagan,82,hacer
1061,dejes,82,dejar
1062,duele,81,doler
1063,vengan,81,venir
1064,crimen,81,crimen
1065,esperaba,81,esperar
1066,causa,81,causa causar
1067,bar,81,bar
1068,seré,81,ser
1069,ocho,81,ocho
1070,temprano,81,temprano
1071,río,81,río reír
1072,relación,80,relación
1073,drogas,80,droga
1074,luces,80,luz
1075,bromeando,80,bromear
1076,ojalá,80,ojalá
1077,hablamos,80,hablar
1078,trabaja,80,trabajar
1079,irse,80,ir
1080,libros,80,libro
1081,radio,80,radio
1082,vienes,79,venir
1083,quedan,79,quedar
1084,excepto,79,excepto
1085,brazo,79,brazo
1086,tome,79,tomar
1087,rojo,79,rojo
1088,conocido,79,conocido conocer
1089,universidad,79,universidad
1090,investigación,79,investigación
1091,batalla,79,batalla
1092,reglas,78,regla
1093,cargo,78,cargo cargar
1094,hogar,78,hogar
1095,ninguno,78,ninguno
1096,dieron,78,dar
1097,vuelva,78,volver
1098,sabías,78,saber
1099,respeto,78,respeto respetar
1100,estación,78,estación
1101,corte,78,corte cortar
1102,paciente,78,paciente
1103,encuentro,78,encuentro encontrar
1104,energía,78,energía
1105,dejado,78,dejado dejar
1106,baile,78,baile
1107,abuela,77,abuela
1108,caliente,77,caliente
1109,vieja,77,viejo
1110,viendo,77,ver
1111,veremos,77,ver
1112,rayos,77,rayo
1113,simple,77,simple
1114,bailar,77,bailar
1115,papa,77,papa
1116,triste,76,triste
1117,zona,76,zona
1118,serás,76,ser
1119,guardia,76,guardia
1120,canción,76,canción
1121,salud,76,salud
1122,escuchar,76,escuchar
1123,parar,76,parar
1124,estarás,76,estar
1125,cenar,76,cenar
1126,soldados,76,soldado
1127,caballo,76,caballo
1128,serán,75,ser
1129,estaremos,75,estar
1130,interesa,75,interesar
1131,volar,75,volar
1132,principio,75,principio
1133,nivel,75,nivel
1134,cálmate,75,calmar
1135,conocer,75,conocer
1136,finalmente,75,finalmente
1137,alegro,75,alegrar alegro
1138,debajo,75,debajo
1139,podrían,74,poder
1140,bosque,74,bosque
1141,bonita,74,bonito
1142,bolsa,74,bolsa
1143,pone,74,poner
1144,taxi,74,taxi
1145,ocupado,74,ocupado ocupar
1146,amable,74,amable
1147,acaso,74,acaso
1148,detente,74,detener
1149,imbécil,74,imbécil
1150,san,74,san San
1151,equivocado,74,equivocado
1152,viva,74,vivir
1153,puso,74,poner
1154,obra,74,obra obrar
1155,consejo,74,consejo
1156,público,73,público
1157,ayúdame,73,ayudar
1158,animales,73,animal
1159,azul,73,azul
1160,apuesto,73,apostar
1161,prisión,73,prisión
1162,mirar,73,mirar
1163,inteligente,73,inteligente
1164,metros,73,metro
1165,fantástico,73,fantástico
1166,próximo,73,próximo
1167,jugando,73,jugar
1168,ojo,73,ojo
1169,salga,72,salir
1170,vea,72,ver
1171,llaman,72,llamar
1172,entrada,72,entrada entrar
1173,duda,72,duda dudar
1174,cerveza,72,cerveza
1175,unidos,72,unido unir
1176,matado,72,matado matar
1177,princesa,72,princesa
1178,perdí,72,perder
1179,entender,72,entender
1180,santa,72,santo
1181,quedar,72,quedar
1182,miles,72,mil
1183,llamaré,72,llamar
1184,compañero,72,compañero
1185,pensado,71,pensar
1186,espalda,71,espalda
1187,dejé,71,dejar
1188,bomba,71,bomba
1189,cartas,71,carta
1190,apenas,71,apenas
1191,leer,71,leer
